model_code,sku,productidweb,category_code,brand_id,brand,Tính năng cơ bản,Loại pin bộ phát,Nhiệt độ hoạt động bộ phát,Thời gian hoạt động bộ thu,Dung lượng pin hộp sạc,Sạc đầy bộ thu,Chu kỳ sạc,Khoảng cách truyền,Phụ kiện đi kèm,Băng tần,Năm sản xuất,Cổng sạc,"Cổng tai nghe, headphone",Kết nối,Loại sản phẩm,Sản xuất tại,Tương thích,Thời gian sử dụng,Thương hiệu của,Khối lượng máy,Loại pin hộp sạc,Dung lượng pin bộ phát,Thời gian hoạt động bộ phát,Thời gian sạc bộ phát,Tần số hoạt động,Loại pin bộ thu,Dung lượng pin bộ thu,Thời gian sạc bộ thu,Công suất truyền / phát,Nhiệt độ hoạt động bộ thu,Hướng thu âm,Áp suất âm thanh (SPL),Kích thước,Sạc đầy bộ phát,Phiên bản,giá gốc,giá khuyến mãi,khuyến mãi quà
147987,0160079000009,286933,137,233,Boya,Tự động kết nối | Lọc tiếng ồn | Ngắt micro tạm thời,443,2022,6,3,454,16,Tối đa 50 m,2 mic phát | Lọc gió | Cáp sạc | 1 mic thu | Sách hướng dẫn,2.4 Ghz,2022,Type-C,Lightning,Bluetooth,Micro thu âm không dây,Trung Quốc,iOS (iPhone),8 - 10 tiếng,Trung Quốc,,,,,,,,,,,,,,,,,,,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
147988,0160079000010,286936,137,233,Boya,Tự động kết nối | Lọc tiếng ồn | Ngắt micro tạm thời,443,2022,6,3,"7,454",4,Tối đa 50 m,2 mic phát | Lọc gió | Cáp sạc | 1 mic thu | Sách hướng dẫn,2.4 Ghz,2022,Type-C,Type-C,Bluetooth,Micro thu âm không dây,Trung Quốc,iOS (iPhone) | Android,8 - 10 tiếng,Trung Quốc,,,,,,,,,,,,,,,,,,,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
147989,0160079000011,313056,137,233,Boya,Tự động kết nối | Lọc tiếng ồn | Ngắt micro tạm thời,443,,6,3,"7,454",19,Tối đa 50 m,"Túi đựng | 2 mic phát | 3 đầu chuyển đổi (Lightning, Type C, 3.5 mm) | Hộp sạc | Lọc gió | Cáp sạc | 1 mic thu | Sách hướng dẫn",2.4 Ghz,,Type-C,"Lightning, Type C, 3.5mm",Bluetooth,Micro thu âm không dây,Trung Quốc,iOS (iPhone) | Android,8 - 10 tiếng,Trung Quốc,255,,,,,,,,,,,,,,,,,,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
137859,0160079000020,336323,137,233,Boya,Tự động kết nối | Lọc tiếng ồn | Ngắt micro tạm thời,443,2024,,3,"7,869,1,454,21,5",19,50,"Túi đựng | Thẻ bảo hành | Đầu bọc micro | 2 mic phát | 3 đầu chuyển đổi (Lightning, Type C, 3.5 mm) | Cáp sạc | 1 mic thu | Sách hướng dẫn",2.4 Ghz,2024,,"Lightning, Type C, 3.5mm",Bluetooth,Micro thu âm không dây,Trung Quốc,Camera | iPadOS | iOS (iPhone) | macOS | Android | Windows,8 - 10 tiếng,Trung Quốc,,50,,,,,,,,,,,,,,,2345000,2150000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
137860,0160079000021,336324,137,233,Boya,Tự động kết nối | Lọc tiếng ồn | Ngắt micro tạm thời,443,2024,,3,"454,21,5",16,50,Túi đựng | Thẻ bảo hành | Bông lọc âm xốp | 1 mic phát | Cáp sạc | 1 mic thu | Sách hướng dẫn,2.4 Ghz,2024,,Lightning,Bluetooth,Micro thu âm không dây,Trung Quốc,iPadOS | iOS (iPhone) | macOS,8 - 10 tiếng,Trung Quốc,,50,,,,,,,,,,,,,,,735000,650000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
137861,0160079000022,336325,137,233,Boya,Tự động kết nối | Lọc tiếng ồn | Ngắt micro tạm thời,443,2024,,3,"7,1,454,21,5",4,50,Túi đựng | Thẻ bảo hành | Bông lọc âm xốp | 1 mic phát | Cáp sạc | 1 mic thu | Sách hướng dẫn,2.4 Ghz,2024,,Type-C,Bluetooth,Micro thu âm không dây,Trung Quốc,iPadOS | iOS (iPhone) | macOS | Android | Windows,8 - 10 tiếng,Trung Quốc,,50,,,,,,,,,,,,,,,735000,650000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
137862,0160079000023,336336,137,233,Boya,Tự động kết nối | Lọc tiếng ồn | Ngắt micro tạm thời,444,2024,,3,"454,21,5",16,50,Túi đựng | 2 Bông lọc âm xốp | Thẻ bảo hành | 2 mic phát | Cáp sạc | 1 mic thu | Sách hướng dẫn,2.4 Ghz,2024,,Lightning,Bluetooth,Micro thu âm không dây,Trung Quốc,iPadOS | iOS (iPhone) | macOS,9-10 tiếng,Trung Quốc,,50,,,,,,,,,,,,,,,970000,850000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
137863,0160079000024,336338,137,233,Boya,Tự động kết nối | Lọc tiếng ồn | Ngắt micro tạm thời,444,2024,,3,"7,1,454,21,5",4,50,Túi đựng | 2 Bông lọc âm xốp | Thẻ bảo hành | 2 mic phát | Cáp sạc | 1 mic thu | Sách hướng dẫn,2.4 Ghz,2024,,Type-C,Bluetooth,Micro thu âm không dây,Trung Quốc,iPadOS | iOS (iPhone) | macOS | Android | Windows,9-10 tiếng,Trung Quốc,,50,,,,,,,,,,,,,,,970000,890000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
137864,0160079000027,336340,137,233,Boya,Đèn Led RGB | Lọc tiếng ồn,41,2024,,3,"7,1,454,21,5",21,Hãng không công bố,1 Màng lọc âm | Cáp dữ liệu | 1 Micro | Bộ chuyển đổi ren | Chân đế để bàn,2.4 Ghz,2024,,"Type-C, Jack 3.5mm",Bluetooth,Micro Podcast/livestream,Trung Quốc,iPadOS | iOS (iPhone) | macOS | Android | Windows,Không,Trung Quốc,415,Hãng không công bố,,,,,,,,,,,,,,,775000,730000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
137538,0164128000051,332522,137,237,Dji,Tự động kết nối | Gắn từ tính | Safety Track | Màn hình cảm ứng kết hợp núm điều chỉnh | Intelligent Noise Cancelling | Ngắt micro tạm thời,Li-ion,-10° đến 45°C,6,2,"7,454",19,Tối đa 250 m,,2.4 - 2.4835 GHz,,,"Lightning, Type C, 3.5mm",Bluetooth,Micro thu âm không dây,Trung Quốc,iOS (iPhone) | Android,6 tiếng,Trung Quốc,"28, 28, 28",Tối đa 250 m,360,6,70 phút,"Low Cut Off: 50 Hz – 20 kHz, Low Cut On: 100 Hz – 20 kHz, 2.400-2.4835 GHz",Li-ion,360,70 phút,<20 dBm,-10° đến 45°C,Đa hướng,120,"46.06×30.96×21.83 mm, 54.20×28.36×22.49 mm",,,4695000,,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
172194,0164128000078,354284,137,237,Dji,Gắn từ tính | Lọc tiếng ồn,Li-ion,-10° đến 45°C,10,1950,~ 50 phút,Hãng không công bố,Tối đa 400 m,1 × Túi đựng nhỏ | 3.5 mm TRS Adapter | 1 mic phát | 2 lọc gió | 1 × Nam châm gắn TX | 1 × Kẹp từ tính | Cáp sạc | 1 mic thu | 1 x Cáp USB-C sang USB-C | 1 x Đầu chuyển cho điện thoại (USB-C),2.4 - 2.4835 GHz,2025,,"Type-C, Jack 3.5mm",Bluetooth,Micro thu âm không dây,Trung Quốc,Hãng không công bố,8 - 10 tiếng,Trung Quốc,"16, 16, 25.1, 164.1",Li-ion,137,8,50 phút,"2.400-2.4835 GHz, 2.400-2.4835 GHz",Li-ion,275,50 phút,<17 dBm,-10° đến 45°C,Đa hướng,126,"28.77×28.34×16.35 mm, 53.85×28.69×22 mm, 106.30×42.5×59.2 mm",~ 50 phút,,5550000,4010000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
172195,0164128000079,354285,137,237,Dji,Gắn từ tính | Lọc tiếng ồn,Li-ion,-10° đến 45°C,10,1950,~ 50 phút,Hãng không công bố,Tối đa 400 m,1 × Túi đựng nhỏ | 3.5 mm TRS Adapter | 4 lọc gió | 2 mic phát | 2 × Kẹp từ tính | 2 × Nam châm gắn TX | Cáp sạc | 1 mic thu | 1 x Cáp USB-C sang USB-C,2.4 - 2.4835 GHz,2025,,"Type-C, Jack 3.5mm",Bluetooth,Micro thu âm không dây,Trung Quốc,Hãng không công bố,8 - 10 tiếng,Trung Quốc,"16, 16, 25.1, 164.1",Li-ion,137,8,50 phút,"2.400-2.4835 GHz, 2.400-2.4835 GHz",Li-ion,275,50 phút,<17 dBm,-10° đến 45°C,Đa hướng,126,"28.77×28.34×16.35 mm, 53.85×28.69×22 mm, 106.30 × 42.5 × 59.2 mm",~ 50 phút,,9820000,6990000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
170763,0164779000065,304965,137,452,Shure,Lọc tiếng ồn,41,,,,"7,1",20,0,,,,,"XLR, micro USB, AUX IN",Bluetooth,Micro Podcast/livestream,Trung Quốc,Android | Windows,Không,Trung Quốc,550,0,,,,,,,,,,,,,,,8290000,8290000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
165342,0164128000052,332524,137,237,Dji,Tự động kết nối | Gắn từ tính | Safety Track | Màn hình cảm ứng kết hợp núm điều chỉnh | Intelligent Noise Cancelling | Ngắt micro tạm thời,Li-ion,-10° đến 45°C,6,3250,"7,454",Xấp xỉ hai chu kỳ sạc hai TX và một RX cùng một lúc,Tối đa 250 m,,2.4 - 2.4835 GHz,,,"Lightning, Type C, 3.5mm",Bluetooth,Micro thu âm không dây,Trung Quốc,iOS (iPhone) | Android,6 tiếng,Trung Quốc,"28, 28, 28, 200",Li-ion 18650,360,6,70 phút,"Low Cut Off: 50 Hz – 20 kHz, Low Cut On: 100 Hz – 20 kHz, 2.400-2.4835 GHz",Li-ion,360,70 phút,<20 dBm,-10° đến 45°C,Đa hướng,120,"46.06×30.96×21.83 mm, 54.20×28.36×22.49 mm, 116×41.5×59.72 mm",,,7255000,,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
171930,0164128000073,339100,137,237,Dji,,Li-ion,-10° đến 45°C,10,1950,,Xấp xỉ 3.6 chu kỳ sạc hai TX và một RX cùng một lúc,11,,,,,Không,Bluetooth,Micro thu âm không dây,Trung Quốc,macOS Sequoia phiên bản 15,Không,Trung Quốc,"10, 17.8, 139",Li-ion,114,11,90 phút,"Low Cut Off: 20 Hz – 20 kHz, Low Cut On: 100 Hz – 20 kHz, 2.400-2.4835GHz",Li-ion,170,100 phút,<20 dBm,-10° đến 45°C,Đa hướng,120,"26.55×26.06×15.96 mm, 46.50×29.61×19.32 mm, 96.10×41.00×59.35 mm",,,2300000,,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
171929,0164128000072,339098,137,237,Dji,,Li-ion,-10° đến 45°C,10,,,13,11,,,,,Không,Bluetooth,Micro thu âm không dây,Trung Quốc,macOS Sequoia phiên bản 15,Không,Trung Quốc,"10, 17.8",,114,11,90 phút,"Low Cut Off: 20 Hz – 20 kHz, Low Cut On: 100 Hz – 20 kHz, 2.400-2.4835GHz",Li-ion,170,100 phút,<20 dBm,-10° đến 45°C,Đa hướng,120,"26.55×26.06×15.96 mm, 46.50×29.61×19.32 mm",,,,,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
170762,0164779000064,304964,137,452,Shure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
170761,0164779000070,304963,137,452,Shure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
147992,0160079000019,327808,137,99,Hp Hyperx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
147991,0160079000018,327807,137,99,Hp Hyperx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
147990,0160079000017,327806,137,99,Hp Hyperx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
188389,0164128000067,332524,137,237,Dji,Tự động kết nối | Gắn từ tính | Safety Track | Màn hình cảm ứng kết hợp núm điều chỉnh | Intelligent Noise Cancelling | Ngắt micro tạm thời,Li-ion,-10° đến 45°C,6,3250,,Xấp xỉ hai chu kỳ sạc hai TX và một RX cùng một lúc,Tối đa 250 m,,2.4 - 2.4835 GHz,,,"Lightning, Type C, 3.5mm",,Micro thu âm không dây,Trung Quốc,iOS (iPhone) | Android,6 tiếng,Trung Quốc,"28, 28, 28, 200",Li-ion 18650,360,6,70 phút,"Low Cut Off: 50 Hz – 20 kHz, Low Cut On: 100 Hz – 20 kHz, 2.400-2.4835 GHz",Li-ion,360,70 phút,<20 dBm,-10° đến 45°C,Đa hướng,120,"46.06×30.96×21.83 mm, 54.20×28.36×22.49 mm, 116×41.5×59.72 mm",,,7255000,,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
188388,0164128000066,332522,137,237,Dji,Tự động kết nối | Gắn từ tính | Safety Track | Màn hình cảm ứng kết hợp núm điều chỉnh | Intelligent Noise Cancelling | Ngắt micro tạm thời,Li-ion,-10° đến 45°C,6,,,,Tối đa 250 m,,2.4 - 2.4835 GHz,,,"Lightning, Type C, 3.5mm",,Micro thu âm không dây,Trung Quốc,iOS (iPhone) | Android,6 tiếng,Trung Quốc,"28, 28, 28",,360,6,70 phút,"Low Cut Off: 50 Hz – 20 kHz, Low Cut On: 100 Hz – 20 kHz, 2.400-2.4835 GHz",Li-ion,360,70 phút,<20 dBm,-10° đến 45°C,Đa hướng,120,"46.06×30.96×21.83 mm, 54.20×28.36×22.49 mm",,,4695000,,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
188037,0164128000096,361758,137,41,Razer,Bit Depth/Sample Rate | Chạm để tắt tiếng (Tap-to-Mute) | Chống sốc tích hợp (Built-in Shock Mount) | Đèn LED báo trạng thái,,,,,,,,,,2024,,Type-C,,Micro Podcast/livestream,Trung Quốc,macOS | Windows | PlayStation 4/5,Không,Mỹ,274,,,,,20 Hz – 20 kHz,,,,,,"Siêu hướng (Supercardioid) - Tập trung thu giọng nói phía trước, giảm thiểu tiếng ồn hai bên và phía sau",110,,,Trắng,1490000,1290000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
188037,0164128000098,361757,137,41,Razer,Bit Depth/Sample Rate | Chạm để tắt tiếng (Tap-to-Mute) | Chống sốc tích hợp (Built-in Shock Mount) | Đèn LED báo trạng thái,,,,,,,,,,2024,,Type-C,,Micro Podcast/livestream,Trung Quốc,macOS | Windows | PlayStation 4/5,Không,Mỹ,274,,,,,20 Hz – 20 kHz,,,,,,"Siêu hướng (Supercardioid) - Tập trung thu giọng nói phía trước, giảm thiểu tiếng ồn hai bên và phía sau",110,,,Hồng,1490000,1290000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
188037,0164128000094,361751,137,41,Razer,Bit Depth/Sample Rate | Chạm để tắt tiếng (Tap-to-Mute) | Chống sốc tích hợp (Built-in Shock Mount) | Đèn LED báo trạng thái,,,,,,,,,,2024,,Type-C,,Micro Podcast/livestream,Trung Quốc,macOS | Windows | PlayStation 4/5,Không,Mỹ,274,,,,,20 Hz – 20 kHz,,,,,,"Siêu hướng (Supercardioid) - Tập trung thu giọng nói phía trước, giảm thiểu tiếng ồn hai bên và phía sau",110,,,Đen,1490000,1290000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
188036,0164128000095,361608,137,41,Razer,Đèn Led RGB | Chống vỡ tiếng (Digital Gain Limiter) | Bit Depth/Sample Rate | Chạm để tắt tiếng (Tap-to-Mute) | Chống sốc tích hợp (Built-in Shock Mount),,,,,,,,,,2024,,Type-C,,Micro Podcast/livestream,Trung Quốc,macOS | Windows | PlayStation 4/5,Không,Mỹ,474,,,,,20 Hz – 20.000 Hz,,,,,,"Siêu hướng (Supercardioid) - Tập trung thu giọng nói phía trước, giảm thiểu tiếng ồn hai bên và phía sau",110,,,Đen,3690000,3220000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
188036,0164128000097,361775,137,41,Razer,Đèn Led RGB | Chống vỡ tiếng (Digital Gain Limiter) | Bit Depth/Sample Rate | Chạm để tắt tiếng (Tap-to-Mute) | Chống sốc tích hợp (Built-in Shock Mount),,,,,,,,,,2024,,Type-C,,Micro Podcast/livestream,Trung Quốc,macOS | Windows | PlayStation 4/5,Không,Mỹ,474,,,,,20 Hz – 20.000 Hz,,,,,,"Siêu hướng (Supercardioid) - Tập trung thu giọng nói phía trước, giảm thiểu tiếng ồn hai bên và phía sau",110,,,Hồng,3990000,3390000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
188036,0164128000099,361776,137,41,Razer,Đèn Led RGB | Chống vỡ tiếng (Digital Gain Limiter) | Bit Depth/Sample Rate | Chạm để tắt tiếng (Tap-to-Mute) | Chống sốc tích hợp (Built-in Shock Mount),,,,,,,,,,2024,,Type-C,,Micro Podcast/livestream,Trung Quốc,macOS | Windows | PlayStation 4/5,Không,Mỹ,474,,,,,20 Hz – 20.000 Hz,,,,,,"Siêu hướng (Supercardioid) - Tập trung thu giọng nói phía trước, giảm thiểu tiếng ồn hai bên và phía sau",110,,,Trắng,3990000,3390000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
167424,0164128000092,362150,137,233,Boya,Tự động kết nối | Đổi giọng nói | Lọc tiếng ồn | Ngắt micro tạm thời,,,,,,,100,Túi đựng | Thẻ bảo hành | Đầu thu Lightning | Đầu thu Type-C | 2 mic phát | Hộp sạc | Cáp sạc | Sách hướng dẫn,2.4 Ghz,2025,,Type-C,,Micro thu âm không dây,Trung Quốc,iOS (iPhone) | Android,6 tiếng,Trung Quốc,37,,,,,,,,,,,,,,,,1490000,,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
167424,0164128000093,362150,137,233,Boya,Tự động kết nối | Đổi giọng nói | Lọc tiếng ồn | Ngắt micro tạm thời,,,,,,,100,Túi đựng | Thẻ bảo hành | Đầu thu Lightning | Đầu thu Type-C | 2 mic phát | Hộp sạc | Cáp sạc | Sách hướng dẫn,2.4 Ghz,2025,,Type-C,,Micro thu âm không dây,Trung Quốc,iOS (iPhone) | Android,6 tiếng,Trung Quốc,37,,,,,,,,,,,,,,,,1490000,,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
167423,0160079000025,336347,137,233,Boya,Tự động kết nối | Đổi giọng nói | Lọc tiếng ồn | Ngắt micro tạm thời,,,,,,,100,Túi đựng | Thẻ bảo hành | Đầu thu Lightning | Đầu thu Type-C | 2 mic phát | Hộp sạc | Cáp sạc | Sách hướng dẫn,2.4 Ghz,2024,,Type-C,,Micro thu âm không dây,Trung Quốc,iOS (iPhone) | Android,6 tiếng,Trung Quốc,,,,,,,,,,,,,,,,,1560000,1490000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
167423,0160079000026,336347,137,233,Boya,Tự động kết nối | Đổi giọng nói | Lọc tiếng ồn | Ngắt micro tạm thời,,,,,,,100,Túi đựng | Thẻ bảo hành | Đầu thu Lightning | Đầu thu Type-C | 2 mic phát | Hộp sạc | Cáp sạc | Sách hướng dẫn,2.4 Ghz,2024,,Type-C,,Micro thu âm không dây,Trung Quốc,iOS (iPhone) | Android,6 tiếng,Trung Quốc,,,,,,,,,,,,,,,,,1560000,1490000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
